ChrisVanHollen,@SenatorDurbin,@SenJeffMerkley,@SenBlumenthal,@SenTinaSmith,@ChrisVanHollen,@SenBooker,@SenDuckworth,@SenatorShaheen,@HawleyMO,@MarkWarner,@SenatorMenendez,@SenPeterWelch,@SenWarren,@SenatorCardin,@SenTimKaine,,,,,,,,,,,,
ChrisMurphyCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChuckGrassley,@ChuckGrassley,,,,,,,,,,,,,,,,,,,,,,,,,,
SenSchumer,@SenTuberville,@SenatorSinema,@SenBlumenthal,@JeffMerkley,@SenSchumer,@SenWarren,@SenFettermanPA,@SenSanders,@LeaderMcConnell,@SenAmyKlobuchar,,,,,,,,,,,,,,,,,
SenHydeSmith,@SenHydeSmith,@SenatorWicker,@MarshaBlackburn,@PattyMurray,@SenatorLankford,@SenatorCollins,@SenKatieBritt,@JohnCornyn,@SenatorTimScott,@SenJoniErnst,,,,,,,,,,,,,,,,,
SenBooker,@SenBlumenthal,@ReverendWarnock,@SenBooker,@SenSchumer,@SenFettermanPA,@SenatorTimScott,@SenAmyKlobuchar,,,,,,,,,,,,,,,,,,,,
SenLummis,@SenTuberville,@SenGillibrand,@HawleyMO,@SenLummis,@RogerMarshallMD,@SenRandPaul,@SenMikeLee,@marcorubio,@SenTedCruz,@SenatorBennet,,,,,,,,,,,,,,,,,
SenDanSullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorFischer,@SenAmyKlobuchar,@SenJackReed,@SenatorFischer,@SenJeffMerkley,,,,,,,,,,,,,,,,,,,,,,,
SenStabenow,@SenStabenow,@Senlaphonza,@SenGaryPeters,@JohnBoozman,@SenatorBraun,@SenatorRomney,@SenatorCarper,@SenatorCardin,,,,,,,,,,,,,,,,,,,
SenatorDurbin,@SenatorDurbin,@MarshaBlackburn,@SenatorMenendez,@SenSanders,@LeaderMcConnell,,,,,,,,,,,,,,,,,,,,,,
SenMarkey,@SenMarkey,,,,,,,,,,,,,,,,,,,,,,,,,,
