SenAmyKlobuchar,@ChrisMurphyCT,@SenBlumenthal,@SenWhitehouse,@SenBooker,@SenTinaSmith,@SenDuckworth,@SenatorDurbin,@maziehirono,@PattyMurray,@ChrisCoons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenTinaSmith,@SenAmyKlobuchar,@SenWhitehouse,@SenBlumenthal,@SenDuckworth,@SenatorTester,@maziehirono,@SenSherrodBrown,@brianschatz,@ChrisCoons,@SenKevinCramer,@SenBobCasey,@SenatorBaldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenHydeSmith,@SenKevinCramer,@SenatorWicker,@SenatorLankford,@SenJoniErnst,@SenatorBraun,@SenTuberville,@SenatorRisch,@SenJohnKennedy,@SenThomTillis,@JohnCornyn,@SenJohnHoeven,@MikeCrapo,@SenatorFischer,@SenCapito,@JerryMoran,@SenatorTimScott,@SenJohnBarrasso,@SenDanSullivan,@SenatorRicketts,@SenTedBuddNC,@SenKatieBritt,@SenEricSchmitt,@SenMullin,@RogerMarshallMD,@SenatorHagerty,@SenLummis,,,,,,,,,,,,,,
SenatorWicker,@SenatorRisch,@MikeCrapo,@JerryMoran,@SenJohnBarrasso,@SenatorFischer,@SenJohnHoeven,@JohnBoozman,@SenKevinCramer,@SenThomTillis,@SenJohnThune,@SenCapito,@SenatorLankford,@lisamurkowski,@SenJoniErnst,@SenatorCollins,@SenJackReed,@SenVancePress,@SenEricSchmitt,@SenMullin,@SenKatieBritt,@SenTedBuddNC,,,,,,,,,,,,,,,,,,,
HawleyMO,@SenTomCotton,@marcorubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenEricSchmitt,@SenatorRicketts,@SenKatieBritt,@SenatorRomney,@SenatorBraun,@SenTuberville,@SenatorLankford,@SenLummis,@lisamurkowski,@SenHydeSmith,@SenatorRounds,@SenJohnThune,@SenJohnBarrasso,@SenToddYoung,@JohnBoozman,@SenJohnHoeven,,,,,,,,,,,,,,,,,,,,,,,,,
SteveDaines,@SenKevinCramer,@SenatorLankford,@SenTomCotton,@SenJoniErnst,@SenatorBraun,@SenJohnHoeven,@SenatorRisch,@SenJohnBarrasso,@MikeCrapo,@SenThomTillis,@SenatorTester,@JohnCornyn,@SenMikeLee,@SenJohnThune,@SenCapito,@JerryMoran,@SenatorWicker,@SenKatieBritt,@SenTuberville,,,,,,,,,,,,,,,,,,,,,
SenatorTester,@ChrisMurphyCT,@PattyMurray,@SenBlumenthal,@SenGaryPeters,@MarkWarner,@maziehirono,@SenDuckworth,@ChrisVanHollen,@ChrisCoons,@SenatorDurbin,@SenSherrodBrown,@SenatorBaldwin,@SenBobCasey,@SenJackReed,@SenAngusKing,@SenAlexPadilla,@SenKevinCramer,@SenPeterWelch,@SenLummis,@SenatorLujan,@SenatorHick,@SenMarkKelly,@marcorubio,@SenCapito,@SenToddYoung,@MarshaBlackburn,@SenBooker,@SenJoniErnst,@SenDanSullivan,,,,,,,,,,,
SenatorFischer,@SenatorRisch,@MikeCrapo,@SenatorWicker,@JerryMoran,@SenJohnHoeven,@SenJohnBarrasso,@JohnBoozman,@SenCapito,@SenThomTillis,@lisamurkowski,@JohnCornyn,@SenJoniErnst,@SenatorCollins,@SenJohnThune,@SenatorLankford,@SenDanSullivan,@SenJackReed,@SenKevinCramer,@SenatorRicketts,@SenatorLujan,@SenLummis,@RogerMarshallMD,@SenatorHagerty,@SenJohnKennedy,@SenTuberville,@SenTinaSmith,,,,,,,,,,,,,,
SenatorRicketts,@SenEricSchmitt,@SenTuberville,@SenKatieBritt,@SenMullin,@SenatorBraun,@SenatorLankford,@SenJoniErnst,@SenJohnBarrasso,@JohnBoozman,@SenatorDurbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
