twitter_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorHassan,@SenatorShaheen,@PattyMurray,@SenDuckworth,@SenWhitehouse,@SenBlumenthal,@MarkWarner,@SenatorDurbin,@SenGaryPeters,@SenJackReed,@SenatorTester,@maziehirono,@ChrisVanHollen,@SenatorCantwell,@SenSherrodBrown,@SenatorBaldwin,@ChrisCoons,@SenBobCasey,@SenatorCardin,@gillibrandny,@SenFeinstein,@joshsorbe,@SecRaimondo,@CampsKandE,@SecretaryPete,@bistatepca,@NHAHA603,@AmoskeagHealth,@AARPNH,@FixtheDebt,@LittletonCoin,@RepAdamSchiff,@DSenFloor,@SenRandPaul,@SenatorBraun,@SenAlexPadilla,@LucasSMeyer,@JudiciaryDems,@SenKevinCramer,@CapitolPolice,@NHJustice4All,@SenatorWarnock,@SenOssoff,@HELPCmteDems,@SVACDems,@HSGAC,@FLOTUS,@POTUS,@WhiteHouse,@SenHydeSmith,@SenatorMarshall,@SenTuberville,@SenLummis,@SenatorHick,@SenatorLujan,@SenMarkKelly,@SenBooker,@SenBillCassidy,@nowthisnews,@SenFinance,@WMUR9,@OIA,@UnionLeader,@US_FDA,@JECDems,@SenateFinance,@SenatorRomney,@SenRickScott,@SenJackyRosen,@SenatorSinema,,
SenatorShaheen,@NASA,@SenatorHassan,@PattyMurray,@SenJackReed,@SenWhitehouse,@SenBlumenthal,@SenatorDurbin,@SenatorCardin,@ChrisVanHollen,@MarkWarner,@ChrisCoons,@maziehirono,@Sen_JoeManchin,@SenatorCantwell,@SenGaryPeters,@SenatorBaldwin,@SenBobCasey,@SenatorCarper,@SenatorCollins,@SenAngusKing,@SenateSmallBiz,@ActSecJulieSu,@mceachern_ty,@SenFettermanPA,@SenAlexPadilla,@andrewsylvia,@amikutzen,@FLOTUS,@SeacoastCurrent,@sampaisley63,@LenahanIan,@SenMarkKelly,@allanbrodriguez,@sqweinstein,@APkfreking,@darehgregorian,@nickiacovella,@RooneyReports,@1077WTPL,@jengilkie,@NewsGranite,@biannagolodryga,@MaxSullivanLive,@GlennSab,@HowardSMG,@HCTrudo,@usafmc,@ritatheurbanist,@CSIS,@WMCC__,@rdnickel,@KNBrewer7,@neeratanden,@KimberleyHaas,@sbg1,@KFILE,@ilyseh,@dawnlaguens,@SenThomTillis,@SenatorLankford,@AsteadWH,@SteveSchmidtSES,@PPNHAF,@JeffreyMcMenemy,@ADeAngelis_bio,@mindykaling,@PreetBharara,@JasonKander,@TVietor08,@CrookedMedia,
SenBooker,@NASA,@RepAdamSchiff,@JoyAnnReid,@SenSchumer,@RepMaxineWaters,@CoryBooker,@kylegriffin1,@SenGillibrand,@ChrisMurphyCT,@SenBlumenthal,@gillibrandny,@SenWarren,@SenDuckworth,@chrislhayes,@SenatorDurbin,@amyklobuchar,@SenFeinstein,@SenWhitehouse,@davidaxelrod,@maziehirono,@SenTimKaine,@DrKBrandi,@ufwfoundation,@clairekelloway,@RepJohnLarson,@RepMarkTakano,@parkminjae,@MKrishnaRogers,@aliyasking,@Ilhan,@RepCori,@NewarkSAS,@RepBowman,@kmprva,@AmplifyVoicesio,@PressSec,@SecretaryPete,@WhiteHouse,@SecYellen,@BennieGThompson,@RonRon8,@BMHCaucus,@SenatorWarnock,@JacksonLeeTX18,@NJNationalGuard,@RepAdams,@RepDavids,@SecBlinken,@SenateAgDems,@POTUS,@SenAlexPadilla,@LisaMonaco,@SenToddYoung,@pressfreedom,@AP_Politics,@GetCoveredNJ,@JordanPeele,@SenatorShaheen,@RepDebHaaland,@Readygov,@ChadMaisel,@byshondaland,@VidCon,@amberscloset33,@AmeriCorps,@OnPointRadio,@SandSJ_NJ,@ParlayHouse,@NAPAWF,@JohnLewisDoc,
SenatorMenendez,@MarkWarner,@SenatorDurbin,@SenBlumenthal,@ChrisVanHollen,@RepGregoryMeeks,@SenWhitehouse,@PattyMurray,@SFRCdems,@SenatorRisch,@ChrisCoons,@SenatorCardin,@SenBillNelson,@SenGaryPeters,@MikeCrapo,@SenJackReed,@stabenow,@SenBobCasey,@maziehirono,@SenSherrodBrown,@SenMarkey,@SpeakerJohnson,@MorePerfectUS,@mirjordan,@juanlozano70,@camiloreports,@ClaudiaUceda,@CristiLondono,@Arosaflores,@juliaioffe,@HudsonCoView,@JakeSherman,@alweaver22,@SenAlexPadilla,@StudentsDemand,@NicholasMarttin,@Zachary_Cohen,@timsullivan510,@theSBPC,@annsaphir,@grobb2000,@byclairew,@steveliesman,@NickTimiraos,@ADL_NYNJ,@FBINewark,@FlitterOnFraud,@allyversprille,@UniNoticias,@BlancaRVilchez,@mstratford,@JStein_WaPo,@DebtCrisisOrg,@Rubinations,@ronlieber,@NASAWebb,@NAEYC,@chris_rexrode,@MfolNewark,@ByKyleCampbell,@McConaughey,@NJCUniversity,@rachsieg,@CDucra,@Haleaziz,@DebVagins,@USAO_NJ,@RCJulien91,@MamaV150,@BriVannozziNJ,@OglesbyAPP,
SenatorHeinrich,@NASA,@SenBlumenthal,@PattyMurray,@SenWhitehouse,@SenatorDurbin,@SenDuckworth,@MarkWarner,@SenAngusKing,@ChrisMurphyCT,@SenJackReed,@SenGaryPeters,@maziehirono,@ChrisVanHollen,@SenatorCardin,@SenBobCasey,@RonWyden,@SenatorTester,@SenatorRisch,@SenatorCantwell,@ChrisCoons,@Senlaphonza,@GRRMspeaking,@SenOssoff,@mzjacobson,@RobGramlichDC,@GGutierrez_48,@JesseJenkins,@windpower_m,@CleanEnergyGrid,@NREL,@pvmagazine,@SenatorRounds,@BLMWild,@USBorderlander,@AdanSernaNM,@ENERGYDeploy,@SecVilsack,@DepSecXoch,@Peter_StCyr,@GovPierluisi,@RepPaulTonko,@SenPeterWelch,@source_nm,@SenateApprops,@SenFettermanPA,@Susan_M_Moree,@MitchLandrieu46,@audubonsociety,@YoungFarmers,@BoldFutures,@RepGabeVasquez,@@RepGabeVasquez,@speedandscale,@burn_zozobra,@chrislhayes,@sarahLazarovic,@jnoisecat,@MarcelaMulh,@RevYearwood,@_jadebegay,@FBIAlbuquerque,@MarkUdall,@JakeSherman,@MeetThePress,@NatlHeadStart,@GilaNForest,@CarsonNF,@ginamccarthy46,@SecretaryPete,@USDOT,@StephenAtHome
SenatorLujan,@NASA,@GovMLG,@Gabe_NM,@RepTeresaLF,@NMLegislature,@SenatorHeinrich,@RepZoeLofgren,@MayorKeller,@KOB4,@Rep_Stansbury,@SenBrianSchatz,@RepCardenas,@thenewmexican,@LtGovMorales,@NewMexicoOAG,@USRepMikeDoyle,@MelanieforNM,@SenJackyRosen,@NMInDepth,@FrankPallone,@Senlaphonza,@catypayette,@HC_Richardson,@MitchLandrieu46,@samhsagov,@melissalvarex,@TheRealAustonA,@NatlParkService,@Ava_S_NM,@peterbakernyt,@RepRaskin,@IWRising,@SenFettermanPA,@RepGabeVasquez,@ConnieSchultz,@jonstewart,@Yolanda_Diaz_,@NYTBlake,@EvaLongoria,@SenBooker,@ActuallyNPH,@yadvashem,@SecCardona,@SenateApprops,@SenCoonsOffice,@LaCasaBlanca,@lizbrownkaiser,@thefsalazar505,@jahimes,@JulieNBCNews,@goodberger34,@christianjhall,@alexgibneyfilm,@RepMalinowski,@BrendanCarrFCC,@eeregov,@katherinetrevas,@nmhighered,@lisamurkowski,@EmnrdNM,@DepSecGraves,@HobbsNewsSun,@JenniferHomendy,@AliVelshi,@davidshepardson,@RepCori,@AnaCabrera,@BernCounty,@IHSgov,@MikeMcDTweets,
SenGillibrand,@NASA,@SenWarren,@SenSchumer,@ChelseaClinton,@RepAdamSchiff,@RepMaxineWaters,@maddow,@KamalaHarris,@SenFeinstein,@CoryBooker,@staceyabrams,@ChrisMurphyCT,@SenSanders,@amyklobuchar,@gillibrandny,@SenateDems,@TheDemocrats,@SenBlumenthal,@timkaine,@HouseDemocrats,@BillieJeanKing,@CastelliMatt,@KathyMSheehan,@Dorcey1stWard,@KamalDJohnson1,@DeborahJGlick,@Michelle4NM,@CleanAirMoms,@cher,@GaryPeters,@POTUS,@samraforsenate,@eve_rodsky,@eleanorslegacy,@TIME,@RitchieTorres,@MondaireJones,@JamaalBowmanNY,@TinaSmithMN,@WorkingFamilies,@HoulahanForPa,@marygayscanlon,@JCarrollFoy,@emmyrossum,@lessig,@tooningout,@DemConvention,@ossoff,@ChristySmithCA,@NikemaWilliams,@RewireNewsGroup,@GinaOrtizJones,@alexismcgill,@EdMarkey,@pulseorlando,@ReverendWarnock,@emeraldgarner_,@sarahhartclark,@M_Cash,@TomSteyer,@valdemings,@Will_P_Goodwin,@MehrsaBaradaran,@janjanjan,@BidenLGBTQ,@AmbassadorRice,@ilazer,@PaidLeaveforAll,@stevebullockmt,@RhonnieF,
SenSchumer,@VP,@SpeakerPelosi,@SenSanders,@SenWarren,@RepAdamSchiff,@ewarren,@SecondGentleman,@JoeBiden,@alfranken,@MSNBC,@amyklobuchar,@RepJeffries,@TheDemocrats,@SenGillibrand,@SenateDems,@RepMaxineWaters,@maddow,@HouseDemocrats,@SenFeinstein,@SenatorTester,@catypayette,@NAMINYCMetro,@EachusAD99,@AFLCIO,@LizShuler,@j_cyre,@SenFettermanPA,@scheiber,@schoes8,@DebHarkness,@MayorSheehan,@karamdixon,@SenTimKaine,@DRichardsQNS,@SenatorLujan,@riya_vashi,@azmainashraf,@joeaguilar0,@americanutopia,@ParisHilton,@GovKathyHochul,@TomEdwards360,@rcohen,@SecretaryPete,@Raffi_RC,@PalaceAlbany,@albanysym,@WhiteHouse,@SenOssoff,@SenatorWarnock,@SallyQYates,@FLOTUS,@POTUS,@jilkat25,@SenMarkKelly,@NLIHC,@LevineJonathan,@thepashby,@AllyBiasotti,@ChristopherHahn,@jslatte1,@JessicaDeCerce,@gillibrandny,@FrescoLeon,@EmCollective,@Boilermaker15K,@SenateSmallBiz,@EnergyDems,@HSGAC,,
SenTedBuddNC,@RepTimBurchett,@RepMeuser,@RepGregSteube,@RepClayHiggins,@RepBrianBabin,@RepScottPerry,@RepCarolMiller,@SenMullin,@RepJohnJoyce,@RepRussFulcher,@RepMichaelGuest,@RepCloudTX,@RepBrianMast,@RepJohnRose,@RepRalphNorman,@RepKatCammack,@RepTrentKelly,@CongressmanHice,@RepRutherfordFL,@TedBuddNC,@EladStr,@RepMarkAlford,@USNavy,@Virginia_Allen5,@greg_price11,@TTuberville,@prattandwhitney,@RepRussellFry,@RedCross_NC,@NCCarolinaCore,@RepEricBurlison,@DougAndres,@TylerJVoigt,@SRCC,@GunOwners,@SenMarkey,@NCTreasurer,@RepJames,@RaineyFreedom,@specialolyUSA,@BasedMikeLee,@JohnBellNC,@TeamCavuto,@ACTEpolicy,@SenJackReed,@ChiefUSAR,@TECRO_USA,@clt_alliance,@MCASCPPA,@SJAFB,@82ndABNDiv,@18airbornecorps,@USASOCNews,@2dMarDiv,@26MEU,@camp_lejeune,@PackMensBball,@SenMarkKelly,@RepEdwards,@SenatorRicketts,@JoeTalkShow,@WSJ,@FoxNews,@ElbridgeColby,@JohnCena,@FAIRImmigration,@nicholasmcraig,@AFPNC,@AMPotentialPod,@ILMchamber,
SenThomTillis,@NASA,@ChuckGrassley,@SenatorBurr,@SenatorRisch,@MikeCrapo,@SenKevinCramer,@SenTomCotton,@SenJoniErnst,@SenRonJohnson,@JerryMoran,@SenJohnHoeven,@SenJohnBarrasso,@SenatorWicker,@SenatorLankford,@SenatorCollins,@SenMikeLee,@RoyBlunt,@JohnCornyn,@SenJohnKennedy,@SenatorFischer,@Jerusalem_Post,@ncforestservice,@AmbNathanSales,@BPUnion,@CTruittNCDPI,@BillMelugin_,@LtChrisOlivarez,@Anna_Giaritelli,@HarrisTeeter,@EnesFreedom,@SECGov,@USMNT,@USCapitolTree,@NWSMorristown,@NWSGSP,@RedCross_NC,@ReadyWake,@AdamShawNY,@SheriffAlamance,@rockcosheriff,@murphsturph,@SecretaryPete,@noticias40,@BryanBashur,@sbaprolife,@aeholland18,@zipline,@PrattMiller,@roushyates,@AVMACAN,@GlobalTransPark,@GUC_Info,@TheCOVIDCollab,@BlueStarFamily,@VetBridgeHome,@988Lifeline,@GMDefense,@SenateCyber,@RepDeborahRoss,@SenTuberville,@GrowSanfordNC,@AMBrewery,@CapitolPolice,@SalisburyVAMC,@wakeforestmed,@AtriumHealthWFB,@AtriumHealth,@TechNetUpdate,@SenatorHassan,@_MealsOnWheels,
SenKevinCramer,@SenJohnHoeven,@MarshaBlackburn,@SenatorBraun,@GovDougBurgum,@SenatorLankford,@MikeCrapo,@SenThomTillis,@SenatorRisch,@SenJohnKennedy,@SenatorWicker,@SenToddYoung,@SenJohnBarrasso,@RepKayGranger,@JerryMoran,@SenCapito,@SenJohnThune,@SenatorFischer,@SenDanSullivan,@RoyBlunt,@RepDaveJoyce,@alzassociation,@AirMobilityCmd,@aircombatcmd,@RepMalliotakis,@GenAtomics_ASI,@Armstrong_ND,@GrandForksPD,@thecityoffargo,@FargoPolice,@GenCQBrownJr,@SenKatieBritt,@HouseAppropsGOP,@KirstenHillmanA,@TBN,@KLOVERadio,@SenWhitehouse,@MarneyGellner,@SenatorHeinrich,@SenAlexPadilla,@SenatorTester,@SenOssoff,@ChrisCoons,@CNBC,@SullyCNBC,@DEPAUSA,@IPAAaccess,@SenJudiciaryGOP,@SmallBizCmteGOP,@SenateAgGOP,@PCACHAD,@SenFinance,@WaysandMeansGOP,@nick_sobczyk,@CSISEnergy,@SenatorLujan,@SenMullin,@NDYRepublicans,@katievincentz,@BeckyQuick,@Jim_Jordan,@SiegelScribe,@Drew_Lingle42,@NFLCFM_Vikes,@SecAFOfficial,@NFL,@Vikings,@Commanders,@FoxBusiness,@patsylevang5,@KRobbinsMN,
SenJohnHoeven,@MikeCrapo,@SenatorRisch,@SenatorEnzi,@SenJohnBarrasso,@JerryMoran,@SenatorFischer,@SenatorWicker,@JohnBoozman,@SenKevinCramer,@RoyBlunt,@SenPatRoberts,@SenatorCollins,@SenThomTillis,@lisamurkowski,@SenMikeLee,@SenJohnThune,@SenAlexander,@SenCapito,@SenJoniErnst,@SenatorBurr,@NFUDC,@FarmBureau,@NAFB,@SpaceForceDoD,@SpaceForceCSO,@NDAREC,@midwestcouncil1,@SenateYouth,@TammyMillerND,@PCACHAD,@AmericanLegion,@AFGlobalStrike,@SenKatieBritt,@SenVancePress,@SenTedBuddNC,@SenEricSchmitt,@SenMullin,@NodakStuco,@StPaulUSACE,@NDResponse,@NDSUEngineering,@BCBSND,@CityofWestFargo,@BismarckNDGov,@FAANews,@NatlBlueRibbon,@undeerc,@AnneCarlsenCntr,@GFCountyND,@GenCQBrownJr,@WardCtyLibrary,@WashTimes,@USBPChiefDRT,@4H,@NationalFFA,@NDstate4H,@NatlParkService,@SchlossmanGF,@SecGranholm,@RepFischbach,@JackieDeAngelis,@overby_ranch,@CarahHart,@FoundingFarmers,@SenateAgGOP,@SecVilsack,@SenatorHagerty,@SenTuberville,@BillHagertyTN,@SenatorMarshall,
SenSherrodBrown,@NASA,@Yamiche,@SenBlumenthal,@SenWhitehouse,@MarkWarner,@maziehirono,@SenatorDurbin,@PattyMurray,@SenDuckworth,@ConnieSchultz,@SenBobCasey,@senrobportman,@SenatorLeahy,@SenatorBaldwin,@ChrisCoons,@SenJeffMerkley,@SenGaryPeters,@SenatorCantwell,@RonWyden,@SenSchumer,@GLFOP,@ClevelandFed,@CleBCTC,@OhioTrades,@Senlaphonza,@UMACleveland,@JDVance1,@CAPAction,@SVACDems,@EPAGreatLakes,@CincyChildrens,@RepGregLandsman,@RepMaxMiller,@RogerMarshallMD,@RepDeluzio,@SenatorLujan,@SenPeterWelch,@OhioEPA,@SenFettermanPA,@SenTimKaine,@EXIMChair,@DepSecBronaugh,@CentralState87,@CuyahogaEITC,@MayorBibb,@FlyingWithSara,@UNUMKenBurns,@unitehere,@OhioHousing,@SecMartyWalsh,@FCNL,@GE_Aerospace,@RickSmithShow,@CuyahogaHousing,@LizShuler,@4TaxFairness,@RepRoKhanna,@YtownTitoBrown,@JobsOhio,@OhioFoodbanks,@teresa_fedor,@KenyonCollege,@IrontonTribune,@SenAlexPadilla,@bryantimes,@SpectrumNews1OH,@GrCinciFdn,@4AllPeople4,@wbiinnovates,@ChildDefender,
SenVancePress,@JDVance1,@StephenM,@GovernorVA,@mschlapp,@RepJimBanks,@GabeGuidarini,@ssharmaUS,@NickSSolheim,@AidenBuzzetti,@greg_price11,@BullMooseProj,@DanielMKishi,@willchamberlain,@JaneTimkenOH,@AmVirtueOrg,@matthewwalther,@kimguilfoyle,@ARKloster,@ToryAnarchist,@AndrewJTobias,@ForAmerica,@AaronJBKofsky,@charlottew006,@RealJDenton,@RealPMagid,@RepDanBishop,@SenatePress,@Paduch,@jake_zuckerman,@MastersPress,@nbc4i,@guypbenson,@VoteJenaPowell,@Vote_Davidson,@Sam_Markstein,@Luke__Schroeder,@mbrooksrjc,@RJC,@PutnamGOP,@SenateGOP,@GOP,@LangForOhio,@SpeakerCupp,@KeithFaber,@RobertCSprague,@JonHusted,@ohiogop,@bennyjohnson,@NRSC,@sbaprolife,@NoorBinLadin,@BreitbartNews,@TrumpWarRoom,@realLizUSA,@OHVotes4Life,@ohiolife,@approject,@GovRonDeSantis,@CaseyDeSantis,@ericbolling,@WLWT,@pruett_collin,@ericmetaxas,@clayandbuck,@ColumbiaBugle,@toledonews,,,,,
SenatorLankford,@NASA,@SenatorTimScott,@SenKevinCramer,@SenTomCotton,@TomColeOK04,@SenRonJohnson,@SenMullin,@JohnCornyn,@SenThomTillis,@SenJoniErnst,@SenatorBraun,@JimInhofe,@LtGovPinnell,@SenJohnKennedy,@SenMikeLee,@SenJohnBarrasso,@SenatorRisch,@GovStitt,@MikeCrapo,@SenateGOP,@SpeakerJohnson,@RepKManning,@Reuters,@ICEgov,@AMPotentialPod,@InvestToGrowUS,@RepJimmyPanetta,@OilandEnergy,@SenRandPaul,@hospitals4kids,@AdamShawNY,@MailOnline,@RepMaryMiller,@RepMalliotakis,@CUFI,@SenatorRicketts,@alzassociation,@KOCOAbigail,@EagleForum,@OU_Softball,@deneenborelli,@JoeKhalilTV,@Rep_Clyde,@TCSO,@RepBarryMoore,@RepCloudTX,@TheJuanWilliams,@LozierInstitute,@SenEricSchmitt,@buttkicker7,@RepBice,@RepBrecheen,@christomlin,@BasedMikeLee,@foxnewsradio,@VenturaReport,@esullivannyt,@KWaggonerADF,@juliaajohnson_,@KirkCameron,@mollymotoole,@CombatASemitism,@icons_women,@IWF,@thepearlhouse,@OKTurnpike,@OkCountySheriff,@OU_WGymnastics,@OKcommerce,@StateOfOK,
SenMullin,@RepJasonSmith,@TomColeOK04,@RepBrianBabin,@RepMikeRogersAL,@SenatorLankford,@RepFrankLucas,@RepMeuser,@Robert_Aderholt,@RepLoudermilk,@RepLarryBucshon,@CongMikeSimpson,@RepDaveJoyce,@RepBradWenstrup,@RepChrisStewart,@RepBlaine,@RepBuddyCarter,@DesJarlaisTN04,@RepJimBanks,@AustinScottGA08,@RepTrentKelly,@bennyjohnson,@OklahomaDEQ,@1st_SF_Command,@SenMarcoRubio,@kilmeade,@tracegallagher,@SenCortezMasto,@aishahhasnie,@PeteRicketts,@RepDesposito,@StillwaterOKgov,@fires_6,@7Fires3,@usacac,@TRADOC,@OSRHEChancellor,@Hearts4Hearing,@CCAInstitute,@EMSAOK,@cityoftulsagov,@RepBethVanDuyne,@alzoklahoma,@mercedesschlapp,@JennPellegrino,@GriffJenkins,@McAlesterArmy,@toddstarnes,@PortMuskogee,@GLFOP,@SenWestCaucus,@BillMelugin_,@SenatorSinema,@OKCattlemen,@KennedyNation,@blaynearthur,@SandraSmithFox,@RedCrossOK,@SenatorCollins,@SteveDaines,@normanokpd,@OKCFD,@OKCPD,@OkCountySheriff,@CityofEdmond,@EdmondChamber,@utulsa,@City_of_Altus,@u_artillery,@97AMW,@OfficialFtSill,
SenJeffMerkley,@NASA,@RonWyden,@ChrisMurphyCT,@SenWhitehouse,@SenSchumer,@SenBlumenthal,@PattyMurray,@SenatorDurbin,@MarkWarner,@timkaine,@SenGillibrand,@SenDuckworth,@maziehirono,@SenFeinstein,@clairecmc,@ChrisCoons,@ChrisVanHollen,@SenBobCasey,@SenSherrodBrown,@SenBillNelson,@Senlaphonza,@CCCPortland,@RepBeccaB,@adamschreck,@CMcBinDC,@EPAnorthwest,@gillibrandny,@RepSummerLee,@RepMcClellan,@RepSalinas,@SFRCdems,@RepWilson,@RepValHoyle,@SenFettermanPA,@RepStricklandWA,@RepMGP,@GovTinaKotek,@davidrising,@MiriamABerger,@EricSchmittNYT,@JackDetsch,@EliseJoshi,@RobbieGramer,@stephen_neukam,@FireDrillFriday,@MollyJongFast,@AsstSecCastillo,@LaneCountyGov,@ORSmokeInfo,@SenTimKaine,@EPAMichaelRegan,@NCYLnews,@January6thCmte,@ossoff,@RepAOC,@Rob_Weissman,@EnesFreedom,@RepBowman,@CECCgov,@RepUnderwood,@RepShontelBrown,@RepMondaire,@ParisHilton,@SecDebHaaland,@RepNikema,@RedCrossCasc,@OregonOEM,@211info,@RepRitchie,@TheLeoTerrell,
RonWyden,@SenJeffMerkley,@SenBlumenthal,@ChrisMurphyCT,@SenWhitehouse,@PattyMurray,@SenatorDurbin,@SenGillibrand,@MarkWarner,@timkaine,@maziehirono,@SenFeinstein,@SenDuckworth,@clairecmc,@ChrisCoons,@ChrisVanHollen,@SenSherrodBrown,@SenBobCasey,@SenatorCantwell,@SenJackReed,@SenatorLeahy,@SSWorks,@cityofcorvallis,@oregonstatenews,@RepDelBene,@FreedomofPress,@emilyzazaza,@SecGranholm,@AshleySchapitl,@988Lifeline,@OtisCafe,@TheNewsGuard,@headlightherald,@ppsworegon,@thebulletin,@DesNatlForest,@hwhouston1,@RepYvetteClarke,@ColorOfChange,@oxyokedriver,@USInteriorPress,@Homes4GoodHA,@EvergreenAction,@AdyBarkan,@PaidLeaveforAll,@CentralORFire,@ODF_COD,@ForestServiceNW,@BootlegFireInfo,@BentonCoGov,@NWS,@NWSMedford,@swofire,@forestservice,@BLMOregon,@RRSNF,@EastOregonian,@HighDesertMuse,@m0nica10,@JRosenworcel,@nycsouthpaw,@natsfert,@Oregon_Law,@POTUS,@pressfreedom,@RepRaskin,@katrinahPDX,@World_Forestry,@familyforward,@JRosenworcelFCC,@NWF,
SenBobCasey,@NASA,@GovernorShapiro,@ChrisMurphyCT,@SenSchumer,@SenBlumenthal,@SenatorDurbin,@PattyMurray,@SenWhitehouse,@MarkWarner,@clairecmc,@SenatorTester,@maziehirono,@timkaine,@SenFeinstein,@SenGillibrand,@ChrisVanHollen,@SenToomey,@MikeCrapo,@SenSherrodBrown,@SenatorCardin,@RickSmithShow,@RepOMara,@RepJasmine,@Commish_Schmidt,@mishalinnehan,@TheHersheyBears,@LGAustinDavis,@RepDeluzio,@MitchLandrieu46,@JohnHicks00,@NIO25iam,@SenFettermanPA,@MaryKayHenry,@gainey_ed,@cityreadingpa,@MedicareGov,@GPHCC,@SenTimKaine,@commercedems,@alastanford,@hhsregion3,@ARCgov,@usdaRD,@Philabundance,@US_EDA,@RD_Pennsylvania,@FEMAregion3,@SenBillCassidy,@RepDebDingell,@WhiteHouseCEA,@GabbyGiffords,@SecCardona,@EPAMichaelRegan,@USTradeRep,@AmbassadorTai,@SecVilsack,@SecDef,@SecRaimondo,@aslavitt46,@KFILE,@SecGranholm,@SecDebHaaland,@USAmbUN,@SecBlinken,@RepPattyKim,@SecMartyWalsh,@RepJerryNadler,@HelenGymAtLarge,@INDEPENDENCENHP,@Yamiche,
SenFettermanPA,@RepJeffries,@SecretaryPete,@SenWhitehouse,@giselefetterman,@maziehirono,@SenJeffMerkley,@PattyMurray,@SenSherrodBrown,@SenJackyRosen,@SenatorHick,@SenatorHeinrich,@SenateDems,@SenBobCasey,@SenatorCarper,@EPWCmte,@SenDuckworth,@RepDeluzio,@SenStabenow,@SenatorCardin,@SenatorLujan,@FoxNews,@Senlaphonza,@EPA,@GrittyNHL,@PAHealthDept,@PennDOTNews,@CitiParks,@Amtrak,@TheNextPGH,@MayorEdGainey,@Pittsburgh,@sixers,@NHLFlyers,@penguins,@Pirates,@Phillies,@RepDean,@RepSusanWild,@RepCartwright,@RepHoulahan,@RepMGS,@RepBrendanBoyle,@JECDems,@SenateBanking,@SenateAging,@SenateAgDems,@SenatorShaheen,@ChrisMurphyCT,@SenTimKaine,@RonWyden,@RepDwightEvans,@cspan,@RepSummerLee,@SenatorBennet,@Sen_JoeManchin,@SenatorMenendez,@SenJackReed,@SenatorCantwell,@SenAngusKing,@SenatorBaldwin,@SenCortezMasto,@VP,@SenGaryPeters,,,,,,,,
SenJackReed,@SenWhitehouse,@PattyMurray,@SenBlumenthal,@SenatorShaheen,@SenatorTester,@maziehirono,@SenatorCardin,@MikeCrapo,@SenGaryPeters,@SenAngusKing,@JimLangevin,@SenDuckworth,@RonWyden,@SenatorHeinrich,@SenatorWicker,@SenatorBurr,@SenatorCollins,@RepCicilline,@SenStabenow,@SenSherrodBrown,@RepGabeAmo,@RepJeffries,@Rep_Magaziner,@SenOssoff,@SenatorWarnock,@GovDanMcKee,@SenMarkKelly,@SenJackyRosen,@POTUS,@VP,@repjohnlewis,@RIHEALTH,@GovRaimondo,@CDCgov,@82ndABNDiv,@Lin_Manuel,@SpeakerPelosi,@SenGillibrand,@Sen_JoeManchin,@SenDougJones,@JimInhofe,@SenWarren,@MarkWarner,@timkaine,@SenSchumer,@SenMarkey,@USMCSgtMaj,@SASCGOP,@RhodeIslandcom,@SASCDems,@SenShelby,@InhofePress,,,,,,,,,,,,,,,,,,,
SenWhitehouse,@NASA,@ChrisMurphyCT,@alfranken,@SenBlumenthal,@RepRaskin,@RepJeffries,@marceelias,@tribelaw,@NicolleDWallace,@amyklobuchar,@RepSwalwell,@clairecmc,@SenatorDurbin,@harrylitman,@PreetBharara,@maziehirono,@DavidCornDC,@JRubinBlogger,@SenDuckworth,@RepJerryNadler,@RepGabeAmo,@Fahrenthold,@JuddLegum,@EricHolder,@ericuman,@kedric_payne,@therecount,@SenPeterWelch,@neeratanden,@FixTheCourt,@steve_vladeck,@DougLindner,@Tiffany_Muller,@KrisB_Brown,@anneapplebaum,@LeahLitman,@mintimm,@ariakov,@thelisagraves,@HopeHealthCo,@OSDRI_Vets,@NoLieWithBTC,@briantylercohen,@ZoeTillman,@accountable_us,@DylanKahler22,@SenBillCassidy,@InfluenceMap,@RepMarkPocan,@aedurkinricher,@scottwongDC,@frankthorp,@sahilkapur,@SenFettermanPA,@McCainInstitute,@Accountable_Org,@Rep_Magaziner,@MikeInacay,@senrobportman,@GarrettHaake,@AndrewDesiderio,@RepCardenas,,,,,,,,,
