twitter_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maziehirono,@NASA,@SenBlumenthal,@ChrisMurphyCT,@SenWhitehouse,@SenDuckworth,@Yamiche,@SenGillibrand,@SenatorDurbin,@RepMaxineWaters,@amyklobuchar,@timkaine,@SenFeinstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brianschatz,@ChrisMurphyCT,@Yamiche,@kylegriffin1,@NatashaBertrand,@AdamSchiff,@brhodes,@marceelias,@jonfavs,@WHCOS,@ossoff,@SenWhitehouse,@clairecmc,@roneetie,@cleantechsonia,@ryandbusse,@themaxburns,@2RawTooReal,@Kulesh0vEffect,@theJCPA,@TeamsterSOB,@lourdesgnavarro,@sarahmccammon,@NPRKelly,@nprscottsimon,@asmamk,@samsanders,@andreeball,@titonka,@rachelnpr,@HousefromDC,@UsherNBA,@OlgaNYC1211,@cairo_claire1,@ShawnReynolds_,@RepJeffries,@GBBranstetter,@BokerIris,@freyisrael1,@baruchikra,@mmagadli,@Nadav_Eyal,@orlybarlev,@Navot_Yair,@talschneider,@LittleMoiz,@GONENB1,@KseniaSvetlova,,,,,,,,,,,,,,,,,,,,,,,,
MikeCrapo,@SenatorRisch,@SenatorEnzi,@SenJohnHoeven,@SenJohnBarrasso,@JerryMoran,@SenatorWicker,@SenatorFischer,@JohnBoozman,@SenThomTillis,@RoyBlunt,@SenPatRoberts,@lisamurkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorRisch,@MikeCrapo,@SenatorEnzi,@SenJohnHoeven,@SenJohnBarrasso,@JerryMoran,@SenatorWicker,@SenatorFischer,@JohnBoozman,@SenThomTillis,@SenPatRoberts,@lisamurkowski,@RoyBlunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenDuckworth,@NASA,@RepAdamSchiff,@SenatorDurbin,@JoyAnnReid,@ChrisMurphyCT,@Yamiche,@RepJeffries,@SenGillibrand,@SenBlumenthal,@RepMaxineWaters,@RepKatiePorter,@gillibrandny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorDurbin,@NASA,@SenSchumer,@SenBlumenthal,@RepAdamSchiff,@SenDuckworth,@ChrisMurphyCT,@SenWhitehouse,@SenFeinstein,@timkaine,@RepJeffries,@PattyMurray,@maziehirono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBraun,@SenToddYoung,@SenKevinCramer,@SenJohnKennedy,@MarshaBlackburn,@SenatorLankford,@SenJoniErnst,@SenThomTillis,@SenHawleyPress,@SenMikeLee,@JohnCornyn,@MikeCrapo,@SenJohnBarrasso,@@SenJohnBarrasso,@@@SenJohnBarrasso,@SenatorRicketts,@SenEricSchmitt,@BillMelugin_,@TuckerCarlson,@thekimkavin,@RepAndyBarr,@elonmusk,@SenateAgingGOP,@SenKatieBritt,@HannahBrandt_TV,@TOS_Elliott,@AmericanFreedom,@SenRandPaul,@TheBigMoneyShow,@SFLAction,@jasonrantz,@seanspicer,@nwi_DanCarden,@lerdody,@EnesFreedom,@TheStarPress,@marisa_schultz,@JoeDonlonTV,@MacFarlaneNews,@CBSNLive,@Heritage_Action,@aishahhasnie,@AttyAbdul,@sbaprolife,@Veteransindiana,@March_for_Life,@TomDaviesIND,@MorningsMaria,,,,,,,,,,,,,,,,,,,,,,,,
SenToddYoung,@NASA,@SenatorBraun,@SenKevinCramer,@RepLarryBucshon,@SenatorRisch,@MikeCrapo,@SenJohnBarrasso,@SenThomTillis,@SenatorLankford,@JerryMoran,@SenJohnHoeven,@SenCapito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenJoniErnst,@ChuckGrassley,@MarshaBlackburn,@SenJohnKennedy,@SenTomCotton,@JohnCornyn,@SenRonJohnson,@SenKevinCramer,@SenThomTillis,@SenHawleyPress,@SenMikeLee,@SenatorRisch,@SenatorLankford,@kayleighmcenany,@SenBillCassidy,@SenatorRicketts,@SenKatieBritt,@USBPChief,@ZachNunn,@FloridaGOP,@SenateRPC,@JenGriffinFNC,@IADeptAg,@RepFeenstra,@RogerMarshallMD,@RepAshleyHinson,@RepMMM,@JimInhofe,@douglaswburns,@SmallBizCmteGOP,@SenatorLoeffler,@SpeakerMcCarthy,@LindseyGrahamSC,@MarthaMcSally,@SenToddYoung,@SenRickScott,@HawleyMO,@SRCC,@MarthaRobyAL,@SenatorRomney,@SenHydeSmith,@jonathanvswan,@IowaFLL,@RandyFeenstra,@IowaGOPer,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChuckGrassley,@SenRonJohnson,@HouseGOP,@newtgingrich,@SenateGOP,@SenMikeLee,@GOPChairwoman,@GovMikeHuckabee,@RandPaul,@TheatreCR,@ISUExtension,@CRmuseumofART,@naomicorr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
