ReverendWarnock,@SenSanders,@SenWarren,@SenWhitehouse,@ReverendWarnock,@SenTedCruz,@SenBooker,@SenatorTimScott,@LeaderMcConnell,@ossoff,@SenSchumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RogerMarshallMD,@MarshaBlackburn,@SenJohnKennedy,@SenTuberville,@SenSherrodBrown,@HawleyMO,@SenLummis,@SenatorRicketts,@RogerMarshallMD,@SenTedCruz,@JerryMoran,@SenRickScott,@SenVancePress,@SenTedBuddNC,@SenSchumer,@SenatorDurbin,@SenWarren,@SenPeterWelch,@SenRandPaul,@JohnBoozman,@LeaderMcConnell,@SenThomTillis,@BillCassidy,@SenatorWicker,@SenMikeLee,@SenGillibrand,@SenEricSchmitt,,,,,,,,,,,,,,,,,,,,,,,,
RonWyden,@MarkWarner,@SenSherrodBrown,@SenJackReed,@SenWhitehouse,@JeffMerkley,@RonWyden,@MikeCrapo,@SenTedCruz,@maziehirono,@SenJeffMerkley,@SenSchumer,@SenBobCasey,@SenMikeLee,@SenatorDurbin,@SenSanders,@SenMarkey,@SenMarkKelly,@SenWarren,@SenAlexPadilla,@SenStabenow,@SenBlumenthal,@SenJoniErnst,@JohnCornyn,@SenDuckworth,@SenAngusKing,,,,,,,,,,,,,,,,,,,,,,,,,
SenAlexPadilla,@SenatorBraun,@SenJackReed,@SenatorHeinrich,@RonWyden,@SenJohnBarrasso,@SenatorRicketts,@SenatorCardin,@SenToddYoung,@ossoff,@ChrisMurphyCT,@SenSchumer,@SenKevinCramer,@Senlaphonza,@SenMarkey,@SenWarren,@SenPeterWelch,@SenAlexPadilla,@SenatorMenendez,@SenBlumenthal,@SenatorTimScott,@LeaderMcConnell,@SenFettermanPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAmyKlobuchar,@MarshaBlackburn,@SenSherrodBrown,@SenWhitehouse,@SenAmyKlobuchar,@SenCapito,@SenJohnThune,@SenatorCardin,@SenBooker,@SenatorBaldwin,@ChrisMurphyCT,@SenSchumer,@SenatorCarper,@SenBobCasey,@SenatorDurbin,@ChrisCoons,@SenWarren,@SenatorCollins,@SenatorFischer,@SenBlumenthal,@SenatorTester,@SenatorMenendez,@LeaderMcConnell,@JohnCornyn,@SenTinaSmith,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAngusKing,@MarshaBlackburn,@SenWhitehouse,@lisamurkowski,@SenatorHeinrich,@RonWyden,@SenJohnBarrasso,@PattyMurray,@SenJeffMerkley,@ChrisMurphyCT,@SenSchumer,@SenatorSinema,@SenSanders,@SenMarkKelly,@SenWarren,@SenatorCollins,@SenatorTester,@SenBlumenthal,@SenAngusKing,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBaldwin,@SenWhitehouse,@SenCortezMasto,@maziehirono,@SenatorBaldwin,@SenatorShaheen,@SenBooker,@SenSchumer,@SenatorBennet,@SenatorDurbin,@SenMarkKelly,@SenatorCantwell,@SenStabenow,@SenBlumenthal,@SenatorMenendez,@SenGillibrand,@SenSherrodBrown,@SenAmyKlobuchar,@SenCapito,@SenRonJohnson,@PattyMurray,@SenatorHassan,@SenatorCardin,@JerryMoran,@ChrisMurphyCT,@SenatorCarper,@SenBobCasey,@SenSanders,@SenWarren,@SenatorCollins,@SenTimKaine,@SenatorTester,@SenDuckworth,@SenTinaSmith,@SenJackyRosen,,,,,,,,,,,,,,,,
SenatorBennet,@SenatorHick,@SenSherrodBrown,@SenWhitehouse,@SenAmyKlobuchar,@lisamurkowski,@maziehirono,@SenatorBaldwin,@SenatorShaheen,@ChrisMurphyCT,@SenSchumer,@SenatorBennet,@SenatorDurbin,@SenMarkKelly,@SenWarren,@SenatorTester,@SenTimKaine,@LeaderMcConnell,@SenJackyRosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBraun,@SenKatieBritt,@SenTuberville,@SenLummis,@HawleyMO,@SenJohnBarrasso,@SenRickScott,@ChuckGrassley,@SenToddYoung,@SenatorShaheen,@SenVancePress,@SenSchumer,@JohnBoozman,@SenAlexPadilla,@SenJoniErnst,@SenatorTimScott,@LeaderMcConnell,@SenMikeLee,@SenTomCotton,@SenGillibrand,@SenatorRisch,@MarshaBlackburn,@SenatorBraun,@SenJohnKennedy,@SenSherrodBrown,@lisamurkowski,@SenDanSullivan,@SenCapito,@SenatorRicketts,@RogerMarshallMD,@SenRonJohnson,@SenTedCruz,@SenatorCardin,@SenatorHassan,@PattyMurray,@SenTedBuddNC,@SteveDaines,@SenKevinCramer,@ChrisCoons,@SenGaryPeters,@SenThomTillis,@BillCassidy,@SenEricSchmitt,,,,,,,,
SenatorCantwell,@SenatorHick,@SenAmyKlobuchar,@SenCortezMasto,@PattyMurray,@maziehirono,@SenatorHassan,@SenatorShaheen,@SenatorBaldwin,@SenSanders,@SenatorCantwell,@SenWarren,@SenJackyRosen,@SenStabenow,@SenDuckworth,@SenTinaSmith,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCardin,@MarshaBlackburn,@SenKatieBritt,@MarkWarner,@SenJackReed,@RonWyden,@SenCapito,@SenJohnBarrasso,@MikeCrapo,@SenatorRicketts,@SenatorCardin,@ChrisVanHollen,@PattyMurray,@SenJeffMerkley,@SenTedBuddNC,@Senlaphonza,@ChrisCoons,@JohnBoozman,@SenAlexPadilla,@SenBlumenthal,@SenatorTimScott,@SenatorLankford,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCarper,@MarshaBlackburn,@SenKatieBritt,@SenSherrodBrown,@SenJackReed,@SenWhitehouse,@SenAmyKlobuchar,@SenatorHeinrich,@SenCapito,@SenatorCardin,@SenatorBaldwin,@ChrisMurphyCT,@SenSchumer,@SenTedBuddNC,@SenatorCarper,@SenBobCasey,@Senlaphonza,@SenatorDurbin,@SenSanders,@ChrisCoons,@SenatorCantwell,@JohnBoozman,@SenatorCollins,@SenatorTester,@SenatorMenendez,@SenGaryPeters,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCollins,@HawleyMO,@SenWhitehouse,@lisamurkowski,@SenCapito,@SenCortezMasto,@SenatorRomney,@SenJohnThune,@PattyMurray,@SenTedCruz,@SenAngusKing,@SenRonJohnson,@SenatorBaldwin,@ChrisMurphyCT,@SenJeffMerkley,@SenSchumer,@SenTedBuddNC,@SenBobCasey,@SenKevinCramer,@SenatorDurbin,@ChrisCoons,@marcorubio,@SenTinaSmith,@SenatorCollins,@SenatorMenendez,@SenJoniErnst,@SenatorTimScott,@LeaderMcConnell,@BillCassidy,@JohnCornyn,@SenTomCotton,@SenJackyRosen,,,,,,,,,,,,,,,,,,,
SenatorFischer,@SenTuberville,@SenAmyKlobuchar,@SenatorHeinrich,@SenatorRicketts,@MikeCrapo,@SenAlexPadilla,@SenatorFischer,@SenJohnThune,@SenJoniErnst,@SenTedCruz,@ChuckGrassley,@SenatorWicker,@SenSchumer,@SenTinaSmith,@SteveDaines,@SenKevinCramer,@SenatorDurbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorHagerty,@MarshaBlackburn,@SenTuberville,@HawleyMO,@SenatorCardin,@SenTedCruz,@JerryMoran,@ChuckGrassley,@SenVancePress,@SteveDaines,@SenJohnHoeven,@SenatorHagerty,@ChrisCoons,@marcorubio,@SenatorTester,@SenatorMenendez,@SenJoniErnst,@SenatorTimScott,@SenatorWicker,@JohnCornyn,@SenTomCotton,@SenatorRisch,@SenEricSchmitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorHassan,@MarshaBlackburn,@SenatorBraun,@SenAmyKlobuchar,@lisamurkowski,@RonWyden,@SenCortezMasto,@MikeCrapo,@PattyMurray,@SenatorHassan,@maziehirono,@SenatorShaheen,@SenatorBaldwin,@SenToddYoung,@SenSanders,@SenMarkey,@SenWarren,@SenatorCantwell,@SenJackyRosen,@SenStabenow,@SenDuckworth,@SenTinaSmith,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorHeinrich,@SenatorLujan,@SenWarren,@SenatorCollins,@SenatorHeinrich,@SenatorDurbin,@SenAlexPadilla,@SenCortezMasto,@SenatorRomney,@SenBlumenthal,@SenToddYoung,@SenSchumer,@SenMikeLee,@SenatorRisch,@SenatorRounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
